--- Startup times for process: Primary (or UI client) ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
021.543  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
021.557  000.001  000.001: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
021.568  000.001  000.001: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
021.576  000.001  000.001: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
021.588  000.004  000.004: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
021.591  000.002  000.002: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
022.172  000.081  000.081: require('nvim-tree.log')
022.499  000.092  000.092: require('nvim-tree.notify')
022.504  000.191  000.099: require('nvim-tree.events')
022.716  000.093  000.093: require('nvim-tree.iterators.node-iterator')
022.748  000.242  000.149: require('nvim-tree.utils')
022.766  000.592  000.158: require('nvim-tree.view')
023.038  000.052  000.052: require('nvim-tree.core')
023.187  000.079  000.079: require('nvim-tree.git.utils')
023.234  000.045  000.045: require('nvim-tree.renderer.components.devicons')
023.362  000.055  000.055: require('nvim-tree.classic')
023.501  000.265  000.210: require('nvim-tree.node')
023.507  000.467  000.078: require('nvim-tree.node.directory')
023.512  000.587  000.068: require('nvim-tree.actions.finders.find-file')
023.577  000.063  000.063: require('nvim-tree.actions.finders.search-node')
023.578  000.700  000.050: require('nvim-tree.actions.finders')
023.746  000.065  000.065: require('nvim-tree.node.file')
023.748  000.117  000.053: require('nvim-tree.actions.fs.create-file')
023.887  000.074  000.074: require('nvim-tree.lib')
024.024  000.087  000.087: require('nvim-tree.node.link')
024.053  000.164  000.077: require('nvim-tree.node.directory-link')
024.059  000.310  000.072: require('nvim-tree.actions.fs.remove-file')
024.232  000.171  000.171: require('nvim-tree.actions.fs.rename-file')
024.391  000.158  000.158: require('nvim-tree.actions.fs.trash')
024.400  000.820  000.064: require('nvim-tree.actions.fs')
024.847  000.168  000.168: require('nvim-tree.diagnostics')
024.853  000.330  000.162: require('nvim-tree.actions.moves.item')
024.888  000.033  000.033: require('nvim-tree.actions.moves.parent')
024.922  000.033  000.033: require('nvim-tree.actions.moves.sibling')
024.924  000.523  000.126: require('nvim-tree.actions.moves')
024.998  000.036  000.036: require('nvim-tree.actions.node.file-popup')
025.052  000.052  000.052: require('nvim-tree.actions.node.open-file')
025.086  000.033  000.033: require('nvim-tree.actions.node.run-command')
025.123  000.036  000.036: require('nvim-tree.actions.node.system-open')
025.125  000.200  000.044: require('nvim-tree.actions.node')
025.212  000.051  000.051: require('nvim-tree.actions.root.change-dir')
025.246  000.032  000.032: require('nvim-tree.actions.root.dir-up')
025.248  000.122  000.038: require('nvim-tree.actions.root')
025.316  000.032  000.032: require('nvim-tree.actions.tree.find-file')
025.381  000.031  000.031: require('nvim-tree.actions.tree.modifiers.collapse-all')
025.416  000.033  000.033: require('nvim-tree.actions.tree.modifiers.expand-all')
025.418  000.100  000.036: require('nvim-tree.actions.tree.modifiers')
025.454  000.035  000.035: require('nvim-tree.actions.tree.open')
025.515  000.059  000.059: require('nvim-tree.actions.tree.toggle')
025.556  000.039  000.039: require('nvim-tree.actions.tree.resize')
025.558  000.308  000.042: require('nvim-tree.actions.tree')
025.559  002.791  000.118: require('nvim-tree.actions')
025.787  000.222  000.222: require('vim.diagnostic')
025.800  004.207  000.521: require('nvim-tree')
025.866  000.056  000.056: require('nvim-tree.legacy')
025.947  000.045  000.045: require('vim.health')
025.949  000.080  000.035: require('vim.deprecated.health')
026.177  000.059  000.059: require('vim.iter')
027.065  000.014  000.014: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
027.075  000.005  000.005: sourcing nvim_exec2() called at /home/frerebo/.config/nvim/init.lua:0
